Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,09/11/2026,"ALDI INC 3003 WATSON WARNER ROBINS GA700818  09/11",-110.34,DEBIT_CARD,2080.59,,
DEBIT,09/11/2026,"COOK OUT WATSON BLVD WARNER ROBINS GA        09/10",-4.27,DEBIT_CARD,2190.93,,
DEBIT,09/11/2026,"ROBINS STARBUCKS 63900 ROBINS AFB XX         09/10",-4.55,DEBIT_CARD,2195.20,,
DEBIT,09/11/2026,"CASH APP*JOSHUA D*CASH OAKLAND CA    401999  09/11",25.49,DEBIT_CARD,2199.75,,
DEBIT,09/11/2026,"VENMO*DUPATI JOSHUA VISA DIRECT NY   260996  09/11",51.09,DEBIT_CARD,2174.26,,
CREDIT,09/11/2026,"DFAS-CLEVELAND   FED SALARY                 PPD ID: 3041036004",2105.84,ACH_CREDIT,2123.17,,
DEBIT,09/10/2026,"MAHARAJA MARKET WARNER ROBINS GA             09/09",-4.11,DEBIT_CARD,17.33,,
DEBIT,09/10/2026,"COCA COLA MACON GA MACON GA                  09/09",-3.50,DEBIT_CARD,21.44,,
DEBIT,09/09/2026,"MCDONALD'S F24298 WARNER ROBINS GA           09/08",-2.34,DEBIT_CARD,24.94,,
DEBIT,09/09/2026,"STARBUCKS STORE 08630 MACON GA               09/08",-5.13,DEBIT_CARD,27.28,,
DEBIT,09/08/2026,"TST* JENI'S SPLENDID IC ALPHARETTA GA        09/08",-7.27,DEBIT_CARD,32.41,,
DEBIT,09/08/2026,"PUBLIX #1542 DAWSONVILLE GA                  09/06",-3.11,DEBIT_CARD,39.68,,
DEBIT,09/08/2026,"UPPBEAT - SUBSCRIPTION LEEDS                 09/06",-8.99,DEBIT_CARD,42.79,,
DEBIT,09/08/2026,"TST* JENI'S SPLENDID IC ALPHARETTA GA        09/06",-7.27,DEBIT_CARD,51.78,,
DEBIT,09/08/2026,"DUNKIN #354435 Q35 FORSYTH GA                09/04",-3.67,DEBIT_CARD,59.05,,
DEBIT,09/08/2026,"CHICK-FIL-A #04944 478-328-0445 GA           09/04",-5.34,DEBIT_CARD,62.72,,
DEBIT,09/08/2026,"CHICK-FIL-A #04944 478-328-0445 GA           09/03",-13.34,DEBIT_CARD,68.06,,
DEBIT,09/08/2026,"VENMO*DUPATI JOSHUA VISA DIRECT NY   482155  09/07",9.75,DEBIT_CARD,81.40,,
CREDIT,09/08/2026,"FID BKG SVC LLC  MONEYLINE  Z34536202 NSRBQ WEB ID: 1035141375",20.00,MISC_CREDIT,71.65,,
DEBIT,09/04/2026,"BJS FUEL #9246 6201 WA BYRON GA      541803  09/04",-23.00,DEBIT_CARD,51.65,,
DEBIT,09/04/2026,"McDonalds 24298 WARNER ROBINS GA             09/03",-1.60,DEBIT_CARD,74.65,,
DEBIT,09/03/2026,"COCA COLA MACON GA MACON GA                  09/02",-3.50,DEBIT_CARD,76.25,,
DEBIT,09/02/2026,"Pointe Grand Byr RENT       272293054       WEB ID: 1861072180",-1875.95,MISC_DEBIT,79.75,,
DEBIT,09/02/2026,"COCA COLA MACON GA MACON GA                  09/01",-3.25,DEBIT_CARD,1955.70,,
DEBIT,09/02/2026,"CHICK-FIL-A #04570 478-569-1200 GA           08/31",-5.66,DEBIT_CARD,1958.95,,
DEBIT,09/02/2026,"CHICK-FIL-A #04944 478-328-0445 GA           08/31",-9.46,DEBIT_CARD,1964.61,,
DEBIT,09/01/2026,"DEPT EDUCATION   STUDENT LN 6S8BPV1D511     WEB ID: 9102002005",-1000.00,ACH_DEBIT,1974.07,,
CREDIT,09/01/2026,"FID BKG SVC LLC  MONEYLINE  Z34536202 N9SJS WEB ID: 1035141375",20.00,MISC_CREDIT,2974.07,,
DEBIT,08/31/2026,"PUBLIX #1291 BYRON GA                        08/30",-26.34,DEBIT_CARD,2954.07,,
DEBIT,08/31/2026,"CHIPOTLE 6007 WARNER ROBINS GA               08/30",-12.47,DEBIT_CARD,2980.41,,
